Entity Name,Patterns,Response
,What is Java?,"Java is an object-oriented, high-level, general-purpose programming language originally designed by James Gosling and further developed by the Oracle Corporation. It is one of the most popular programming languages in the world. To know more about what is Java, Click here and know all the details of Java, Features, and Component."
,Explain about Java Virtual Machine? ,JVM is a program that interprets the intermediate Java byte code and generates the desired output. It is because of byte code and JVM that programs written in Java are highly portable. 
,What are the features of Java?,"Following are the various features of the Java programming language:
High Performance– Using a JIT (Just-In-Time) compiler allows high performance in Java. The JIT compiler converts the Java bytecode into machine language code, which then gets executed by the JVM.
Multi-threading– A thread is a flow of execution. The JVM creates a thread which is called the main thread. Java allows the creation of several threads using either extending the thread class or implementing the Runnable interface.
OOPS Concepts– Java follows various OOPS concepts, namely abstraction, encapsulation, inheritance, object-oriented, and polymorphism
Platform Independency– Java makes use of the Java Virtual Machine or JVM, which allows a single Java program to operate on multiple platforms without any modifications.
You may want to check out Java features in detail here. "
,How does Java enable high performance?,"In the Just-in-Time compilation, the required code is executed at run time. Typically, it involves translating bytecode into machine code and then executing it directly. For enabling high performance, Java can make use of the Just-In-Time compilation. The JIT compiler is enabled by default in Java and gets activated as soon as a method is called. It then compiles the bytecode of the Java method into native machine code. After that, the JVM calls the compiled code directly instead of interpreting it. This grants a performance boost."
,"Differentiate between JVM, JRE, and JDK","Answer: 
Parameters 	JVM	JRE	JDK
Full-Form	Java Virtual Machine	Java Runtime Environment	Java Development Kit
Purpose	It provides a runtime environment to execute Java bytecode. 	It is a set of software tools used for developing Java applications. 	It is a software development environment used to develop Java applications. 
Existence 	It is a runtime instance created when we run a Java class. 	It exists physically.	It exists physically.
Implementation	Its implementation is known as JRE 	It is the implementation of JVM 	
It is an implementation of any one of the below given Java Platforms released by Oracle Corporation:
Standard Edition Java Platform
Enterprise Edition Java Platform
Micro Edition Java Platform"
,What is the JIT compiler?,"JIT compiler runs after the program is executed and compiles the code into a faster form, hosting CPU's native instructing set. JIT can access dynamic runtime information, whereas a standard compiler doesn't and can make better optimizations like inlining functions that are used frequently. "
,"Which Java IDE to use, and why?",
,"A Java IDE is a software that allows Java developers to easily write as well as debug Java programs. It is basically a collection of various programming tools, accessible via a single interface, and several helpful features, such as code completion and syntax highlighting. Codenvy, Eclipse, and NetBeans are some of the most popular Java IDEs.",
,Java is a platform-independent language. Why?,"Java programming language does not depend on any particular hardware or software because it is compiled by the compiler and then converted into byte code. Byte code is platform-independent and can run on multiple systems. The only requirement is Java needs a runtime environment, i.e., JRE, which is a set of tools used for developing Java applications."
,Explain Typecasting,"The concept of assigning a variable of one data type to a variable of another data type. It is not possible for the boolean data type.

It is of two types:
Implicit
Explicit"
,Explain different types of typecasting?,"Answer:
Different types of typecasting are:
Implicit: Storing values from a smaller data type to the larger data type. It is automatically done by the compiler.

Explicit: Storing the value of a larger data type into a smaller data type. This results in information loss:

Truncation: While converting a value from a larger data type to a smaller data type, the extra data would be truncated.
Let us see the code example: 
   float f = 3.14f; 
   int i  = (int) f; 
After execution, i will contain only 3 and would truncate the rest when we go from float to integer. 
Out of Range: Typecasting does not allow to assign value more than its range; if that happens then the data is lost in such case. 
Let us understand this: 
long l = 123456789; 
byte b = (byte) l;      // byte is of not the same range as long so there will be loss of data."
