Entity Name,Patterns,Response
,What are the major benefits of Node.js?,"Some major benefits of Node.js are:
easy to learn and huge community support.
easy scalability and high performance.
highly extensible with extended support.
Full-stack JavaScript.
Caching mechanism allows web pages to load faster.
Non-blocking I/O systems."
,Explain the difference between Asynchronous and Non-blocking?,"Asynchronous or non-synchronous means that for a message sent, we will not receive a response immediately; thus, there is no dependency or order of execution. The server stores information and an acknowledgement is received when the action is performed. This improves performance and efficiency.
Non-blocking operation, as the name suggests, does not stop or block any operations. The difference is that non-blocking operation receives a response immediately with whatever data is available. If data is not available, it returns an error. It is mostly used with I/O."
,Explain package.json?,"The npm packages contain a file package.json in the project root folder, which contains the metadata relevant to the project. It gives information to the npm through which npm identifies a project and its dependencies. Apart from this, it contains other metadata like project description, version, license information and configuration data. "
,Describe error-first callback in Node.js?,"The error-first callback, also called as errorback gives the error and data. It takes a few arguments, the first one being the error object and others being the data. The error-first callback pattern has many advantages: since it is consistent, leads to more adoption, if there is no reference to the data, there is no need to process it. If there is no error, the callback is called with null as the first argument. "
,Explain the purpose of module.exports.,"The purpose is to give instructions to tell Node.js about which part of the code like objects, functions, strings etc. should be exported from a given file so that other files can access it. Suppose we have a module that looks like:
{
    id: '.',
    exports: {},
    parent: null,
    filename: '/modtest.js',
    loaded: false,
    children: [],
    paths:
    [
        '/node_modules',
        '/Users/node_modules',
        '/Users/mycomp/projects/node_modules',
        '/node_modules'
    ]
}
Note that the exports property is empty, now if we apply code to this property, that will become the export of the module. If we require the module in another file, that will be the export property value:
module.exports.stringProperty = ""Hello, welcome"";
console.log(module);
{
    id: '.',
    exports: { stringProperty: 'Hello, welcome' }
    ...
}"
,What is the Reactor Pattern in Node.js?,"It is a concept of non-blocking I/O operations in Node.js. Through this pattern, we get the handler (or callback function) for each I/O operation. Each I/O request is submitted to a demultiplexer, that handles concurrency and queues the requests/events. Reactor pattern consists of resources, event notifier/demultiplexer, event loop, event queue, request handler."
,Explain LTS releases of Node.js,"LTS or Long-Term Support is applied to release lines that are supported and maintained by Node.js project for an extended period. There are two types of LTS: 

Active, which is actively maintained and upgraded, and 
maintenance line that is nearing its end of the line and is maintained for a short window of time."
,What is a URL module?,"The URL module provides APIs to work with URLs:
a legacy API which is specific to Node.js.
newer API that implements WHATWG URL Standard used by web browsers.
Some example methods are URL.port, URL.password, URL.host, url.toString() under the URL class. For the full documentation, check the official URL module page."
,Explain the working mechanism of control flow function?,"Control flow function is the sequence in which statements or functions are executed. Since I/O operations are non-blocking in Node.js, control flow cannot be linear. Therefore, it registers a callback to the event loop and passes the control back to the node, so that the next lines of code can run without interruption. For example:
[code language=""javascript""]
fs.readFile('/root/text.txt', func(err, data){
  console.log(data);
});
console.log(""This is displayed first"");
[/code]
In this, the readFile operation will take some time; however, the next console.log is not blocked. Once the operation completes, data will be displayed."
,What are the main differences between spawn() and fork() methods in Node.js?,"Answer: 
Spawn	Fork
Designed to run system commands.	A special instance of spawn() that runs a new instance of V8.
Does not execute any other code within the node process. 	Can create multiple workers that run on the same Node codebase.
child_process.spawn(command[, args][, options]) creates a new process with the given command. 	Special case of spawn() to create child processes using. child_process.fork(modulePath[, args][, options])
Creates a streaming interface (data buffering in binary format) between parent and child process.	Creates a communication (messaging) channel between parent and child process.
More useful for continuous operations like data streaming (read/write), example, streaming images/files from the spawn process to the parent process.	More useful for messaging, example, JSON or XML data messaging."
