Entity Name,Patterns,Response
,Explain Python?,"Python is a highly comprehensive, interactive, and object-oriented scriptwriting language. It is specifically developed with the purpose of making the content highly readable among the net surfers. Python makes use of various English keywords other than just punctuations. It also has lesser syntactical constructions like in other languages."
,What are the distinct features of Python?,"The distinct features of Python include the following.
Structured and functional programmings are supported.
It can be compiled to byte-code for creating larger applications.
Develops high-level dynamic data types.
Supports checking of dynamic data types.
Applies automated garbage collection.
It could be used effectively along with Java, COBRA, C, C++, ActiveX, and COM."
,What is Pythonpath?,A Pythonpath tells the Python interpreter to locate the module files that can be imported into the program. It includes the Python source library directory and source code directory.
,Can we preset Pythonpath?,"Yes, we can preset Pythonpath as a Python installer."
,Why do we use Pythonstartup environment variable?,We use the Pythonstartup environment variable because it consists of the path in which the initialization file carrying Python source code can be executed to start the interpreter. 
,What is the Pythoncaseok environment variable?,Pythoncaseok environment variable is applied in Windows with the purpose to direct Python to find the first case insensitive match in an import statement.
,What are the supported standard data types in Python?,"The supported standard data types in Python include the following.
List.
Number.
String.
Dictionary.
Tuples."
,Define tuples in Python?,Tuples is a sequence data type in Python. The number of values in tuples are separated by commas.
,What is the major difference between tuples and lists in Python?,"The major difference between tuples and lists is that a list is mutable, whereas a tuple is immutable. This means that a list can be changed, but a tuple cannot."
,What are the positive and negative indices?," In the positive indices are applied the search beings from left to the right. In the case of the negative indices, the search begins from right to left. For example, in the array list of size n the positive index, the first index is 0, then comes 1 and until the last index is n-1. However, in the negative index, the first index is -n, then -(n-1) until the last index will be -1."
,What can be the length of the identifier in Python?,The length of the identifier in Python can be of any length. The longest identifier will violate from PEP – 8 and PEP – 20.
,Define Pass statement in Python?,"A Pass statement in Python is used when we cannot decide what to do in our code, but we must type something for making syntactically correct."
,What are the limitations of Python?,"There are certain limitations of Python, which include the following:
It has design restrictions.
It is slower when compared with C and C++ or Java.
It is inefficient in mobile computing.
It consists of an underdeveloped database access layer."
,Do runtime errors exist in Python? Give an example?,"Yes, runtime errors exist in Python. For example, if you are duck typing and things look like a duck, then it is considered as a duck even if that is just a flag or stamp or any other thing. The code, in this case, would be A Run-time error. For example, Print “Hackr io”, then the runtime error would be the missing parenthesis that is required by print ( )."
